2024-08-12 16:22:03,697 INFO    StreamThr :3676959 [internal.py:wandb_internal():85] W&B internal server running at pid: 3676959, started at: 2024-08-12 16:22:03.694048
2024-08-12 16:22:03,699 DEBUG   HandlerThread:3676959 [handler.py:handle_request():158] handle_request: status
2024-08-12 16:22:03,702 INFO    WriterThread:3676959 [datastore.py:open_for_write():87] open: /users/cmk2000/cmk2000/Deep learning models/LLMs/Conditional-Diffusion-Models-for-IVP/wandb/run-20240812_162203-jiwlmudi/run-jiwlmudi.wandb
2024-08-12 16:22:03,703 DEBUG   SenderThread:3676959 [sender.py:send():391] send: header
2024-08-12 16:22:03,711 DEBUG   SenderThread:3676959 [sender.py:send():391] send: run
2024-08-12 16:22:04,081 DEBUG   HandlerThread:3676959 [handler.py:handle_request():158] handle_request: check_version
2024-08-12 16:22:04,081 INFO    SenderThread:3676959 [dir_watcher.py:__init__():211] watching files in: /users/cmk2000/cmk2000/Deep learning models/LLMs/Conditional-Diffusion-Models-for-IVP/wandb/run-20240812_162203-jiwlmudi/files
2024-08-12 16:22:04,081 INFO    SenderThread:3676959 [sender.py:_start_run_threads():1200] run started: jiwlmudi with start time 1723476123.695111
2024-08-12 16:22:04,081 DEBUG   SenderThread:3676959 [sender.py:send_request():418] send_request: check_version
2024-08-12 16:22:04,151 DEBUG   HandlerThread:3676959 [handler.py:handle_request():158] handle_request: run_start
2024-08-12 16:22:04,170 DEBUG   HandlerThread:3676959 [system_info.py:__init__():26] System info init
2024-08-12 16:22:04,170 DEBUG   HandlerThread:3676959 [system_info.py:__init__():41] System info init done
2024-08-12 16:22:04,170 INFO    HandlerThread:3676959 [system_monitor.py:start():194] Starting system monitor
2024-08-12 16:22:04,170 INFO    SystemMonitor:3676959 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-08-12 16:22:04,170 INFO    HandlerThread:3676959 [system_monitor.py:probe():214] Collecting system info
2024-08-12 16:22:04,181 INFO    SystemMonitor:3676959 [interfaces.py:start():188] Started cpu monitoring
2024-08-12 16:22:04,182 INFO    SystemMonitor:3676959 [interfaces.py:start():188] Started disk monitoring
