2024-08-12 20:22:22,634 INFO    MainThread:3720748 [wandb_setup.py:_flush():76] Current SDK version is 0.17.6
2024-08-12 20:22:22,635 INFO    MainThread:3720748 [wandb_setup.py:_flush():76] Configure stats pid to 3720748
2024-08-12 20:22:22,635 INFO    MainThread:3720748 [wandb_setup.py:_flush():76] Loading settings from /users/cmk2000/.config/wandb/settings
2024-08-12 20:22:22,635 INFO    MainThread:3720748 [wandb_setup.py:_flush():76] Loading settings from /users/cmk2000/cmk2000/Deep learning models/LLMs/Conditional-Diffusion-Models-for-IVP/wandb/settings
2024-08-12 20:22:22,635 INFO    MainThread:3720748 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-08-12 20:22:22,635 INFO    MainThread:3720748 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-08-12 20:22:22,635 INFO    MainThread:3720748 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main_training.py', 'program_abspath': '/users/cmk2000/cmk2000/Deep learning models/LLMs/Conditional-Diffusion-Models-for-IVP/main_training.py', 'program': '/users/cmk2000/cmk2000/Deep learning models/LLMs/Conditional-Diffusion-Models-for-IVP/main_training.py'}
2024-08-12 20:22:22,635 INFO    MainThread:3720748 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-08-12 20:22:22,635 INFO    MainThread:3720748 [wandb_init.py:_log_setup():521] Logging user logs to /users/cmk2000/cmk2000/Deep learning models/LLMs/Conditional-Diffusion-Models-for-IVP/wandb/run-20240812_202222-bmcnofq1/logs/debug.log
2024-08-12 20:22:22,635 INFO    MainThread:3720748 [wandb_init.py:_log_setup():522] Logging internal logs to /users/cmk2000/cmk2000/Deep learning models/LLMs/Conditional-Diffusion-Models-for-IVP/wandb/run-20240812_202222-bmcnofq1/logs/debug-internal.log
2024-08-12 20:22:22,635 INFO    MainThread:3720748 [wandb_init.py:init():559] calling init triggers
2024-08-12 20:22:22,635 INFO    MainThread:3720748 [wandb_init.py:init():566] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.001, 'architecture': 'Deep Cnn', 'dataset': 'ImageNet - 256', 'epochs': 100}
2024-08-12 20:22:22,635 INFO    MainThread:3720748 [wandb_init.py:init():609] starting backend
2024-08-12 20:22:22,635 INFO    MainThread:3720748 [wandb_init.py:init():613] setting up manager
2024-08-12 20:22:22,636 INFO    MainThread:3720748 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-08-12 20:22:22,637 INFO    MainThread:3720748 [wandb_init.py:init():621] backend started and connected
2024-08-12 20:22:22,640 INFO    MainThread:3720748 [wandb_init.py:init():716] updated telemetry
2024-08-12 20:22:22,652 INFO    MainThread:3720748 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2024-08-12 20:22:23,013 INFO    MainThread:3720748 [wandb_run.py:_on_init():2438] communicating current version
2024-08-12 20:22:23,090 INFO    MainThread:3720748 [wandb_run.py:_on_init():2447] got version response 
2024-08-12 20:22:23,090 INFO    MainThread:3720748 [wandb_init.py:init():800] starting run threads in backend
2024-08-12 20:22:26,088 INFO    MainThread:3720748 [wandb_run.py:_console_start():2416] atexit reg
2024-08-12 20:22:26,088 INFO    MainThread:3720748 [wandb_run.py:_redirect():2258] redirect: wrap_raw
2024-08-12 20:22:26,088 INFO    MainThread:3720748 [wandb_run.py:_redirect():2323] Wrapping output streams.
2024-08-12 20:22:26,088 INFO    MainThread:3720748 [wandb_run.py:_redirect():2348] Redirects installed.
2024-08-12 20:22:26,091 INFO    MainThread:3720748 [wandb_init.py:init():843] run started, returning control to user process
2024-08-12 20:22:53,601 WARNING MsgRouterThr:3720748 [router.py:message_loop():77] message_loop has been closed
